Time Steps,Interpolated Volumes
0.45615858823529415,69.03
0.4582510588235294,68.54
0.4603435294117647,68.0
0.462436,67.43
0.4645284705882353,66.82
0.46662094117647057,66.17
0.4687134117647059,65.51
0.4708058823529412,64.87
0.4728983529411765,64.27
0.4749908235294118,63.71
0.47708329411764705,63.17
0.47917576470588236,62.66
0.48126823529411766,62.18
0.48336070588235297,60.68
0.4854531764705882,61.33
0.48754564705882353,60.95
0.48963811764705883,60.6
0.49173058823529414,60.28
0.49382305882352945,59.99
0.4959155294117647,59.73
0.498008,59.51
0.5001004705882353,59.31
0.5021929411764706,59.15
0.5042854117647059,59.02
0.5063778823529412,58.91
0.5084703529411765,58.85
0.5105628235294117,58.81
0.5126552941176471,58.79
0.5147477647058823,58.77
0.5168402352941177,58.74
0.518932705882353,58.7
